MGI.ID	MOUSE.ENTREZ.ID	MOUSE.GENE.NAME	HUMAN.ENTREZ.ID	HUMAN.GENE.NAME	RAT.ENTREZ.ID	RAT.GENE.NAME	psd	pres	syn
MGI:1277959	13385	Dlg4	1742	DLG4	29495	Dlg4	1	1	1
MGI:88256	12322	Camk2a	815	CAMK2A	25400	Camk2a	1	1	1
MGI:96568	226180	Ina	9118	INA	24503	Ina	1	1	1
MGI:98388	20742	Sptbn1	6711	SPTBN1	305614	Sptbn1	1	1	1
MGI:88257	12323	Camk2b	816	CAMK2B	24245	Camk2b	1	1	1
MGI:1344351	23859	Dlg2	1740	DLG2	64053	Dlg2	1	1	1
MGI:95821	14812	Grin2b	2904	GRIN2B	24410	Grin2b	1	1	1
MGI:104560	18195	Nsf	4905	NSF	60355	Nsf	1	1	1
MGI:95819	14810	Grin1	2902	GRIN1	24408	Grin1	1	1	1
MGI:2137336	108100	Baiap2	10458	BAIAP2	117542	Baiap2	1	1	1
MGI:1277955	12217	Bsn	8927	BSN	29138	Bsn	1	1	1
MGI:103020	20965	Syn2	6854	SYN2	29179	Syn2	1	1	1
MGI:1353495	11739	Slc25a4	291	SLC25A4	85333	Slc25a4	1	1	1
MGI:97314	18040	Nefm	4741	NEFM	24588	Nefm	1	1	1
MGI:1888986	53310	Dlg3	1741	DLG3	58948	Dlg3	1	1	1
MGI:1347345	26556	Homer1	9456	HOMER1	29546	Homer1	1	1	1
MGI:95739	14645	Glul	2752	GLUL	24957	Glul	1	1	1
MGI:95809	14800	Gria2	2891	GRIA2	29627	Gria2	1	1	1
MGI:3039785	240057	Syngap1	8831	SYNGAP1	192117	Syngap1	1	1	1
MGI:1195461	18951	05-Sep	5413	05-Sep	116728	Septin5	1	1	1
MGI:97313	18039	Nefl	4747	NEFL	83613	Nefl	1	1	1
MGI:3613677	243961	Shank1	50944	SHANK1	78957	Shank1	1	1	1
MGI:88437	12799	Cnp	1267	CNP	25275	Cnp	1	1	1
MGI:105313	12704	Cit	11113	CIT	83620	Cit	1	1	1
MGI:1277961	18810	Plec	5339	PLEC	64204	Plec	1	1	1
MGI:98460	20964	Syn1	6853	SYN1	24949	Syn1	1	1	1
MGI:95808	14799	Gria1	2890	GRIA1	50592	Gria1	1	1	1
MGI:105384	15481	Hspa8	3312	HSPA8	24468	Hspa8	1	1	1
MGI:95781	14688	Gnb1	2782	GNB1	24400	Gnb1	1	1	1
MGI:1346065	224997	Dlgap1	9229	DLGAP1	65040	Dlgap1	1	1	1
MGI:97597	18752	Prkcg	5582	PRKCG	24681	Prkcg	1	1	1
MGI:1306776	17754	Map1a	4130	MAP1A	25152	Map1a	1	1	1
MGI:95753	14661	Glud1	2746	GLUD1	24399	Glud1	1	1	1
MGI:87994	11674	Aldoa	226	ALDOA	24189	Aldoa	1	1	1
MGI:2137706	109711	Actn1	87	ACTN1	81634	Actn1	1	1	1
MGI:2388633	67300	Cltc	1213	CLTC	54241	Cltc	1	1	1
MGI:99441	12716	Ckmt1	548596	CKMT1A	29593	Ckmt1	1	1	1
MGI:95820	14811	Grin2a	2903	GRIN2A	24409	Grin2a	1	0	1
MGI:101921	11771	Ap2a1	160	AP2A1	308578	Ap2a1	1	1	1
MGI:105976	17918	Myo5a	4644	MYO5A	25017	Myo5a	1	1	1
MGI:99667	20979	Syt1	6857	SYT1	25716	Syt1	1	1	1
MGI:1341265	108058	Camk2d	817	CAMK2D	24246	Camk2d	1	1	1
MGI:95775	14681	Gnao1	2775	GNAO1	50664	Gnao1	1	1	1
MGI:1195966	18163	Ctnnd2	1501	CTNND2	114028	Ctnnd2	1	1	1
MGI:1930016	58234	Shank3	85358	SHANK3	59312	Shank3	1	1	1
MGI:107231	13383	Dlg1	1739	DLG1	25252	Dlg1	1	1	1
MGI:95640	14433	Gapdh	2597	GAPDH	24383	Gapdh	1	1	1
MGI:1933179	56013	Srcin1	80725	SRCIN1	56029	Srcin1	1	1	1
MGI:107363	20910	Stxbp1	6812	STXBP1	25558	Stxbp1	1	1	1
MGI:97623	18823	Plp1	5354	PLP1	24943	Plp1	1	1	1
MGI:95810	53623	Gria3	2892	GRIA3	29628	Gria3	1	1	1
MGI:107384	13429	Dnm1	1759	DNM1	140694	Dnm1	1	1	1
MGI:102788	19894	Rph3a	22895	RPH3A	171039	Rph3a	1	1	1
MGI:87918	11518	Add1	118	ADD1	24170	Add1	1	1	1
MGI:103016	19045	Ppp1ca	5499	PPP1CA	24668	Ppp1ca	1	1	1
MGI:1099446	104027	Synpo	11346	SYNPO	60324	Synpo	1	1	1
MGI:2685385	545156	Kalrn	8997	KALRN	84009	Kalrn	1	1	1
MGI:106222	12343	Capza2	830	CAPZA2	493810	Capza2	1	1	1
MGI:2676665	242274	Lrrc7	57554	LRRC7	117284	Lrrc7	1	1	1
MGI:2671987	210274	Shank2	22941	SHANK2	171093	Shank2	1	1	1
MGI:88276	12387	Ctnnb1	1499	CTNNB1	84353	Ctnnb1	1	1	1
MGI:96925	17196	Mbp	4155	MBP	24547	Mbp	1	1	1
MGI:104652	12345	Capzb	832	CAPZB	298584	Capzb	1	1	1
MGI:1096317	13628	Eef1a2	1917	EEF1A2	24799	Eef1a2	1	1	1
MGI:1923864	76614	Immt	10989	IMMT	312444	Immt	1	1	1
MGI:97175	17756	Map2	4133	MAP2	25595	Map2	1	1	1
MGI:1201780	11964	Atp6v1a	523	ATP6V1A	685232	Atp6v1a	1	1	1
MGI:88107	232975	Atp1a3	478	ATP1A3	24213	Atp1a3	1	1	1
