Name	Annotated	Short description	Count	Species	PubMed	Year	shotgun	Brain region	Method	Description
HUSI_2000	OS	PSD (NMDAR multiprotein complexes (NRC) )	77	mouse	10862698	2000	YES	forebrain	LC–MS/MS +  immunoblotting	NMDAR multiprotein complexes (NRC) 
WALIKONIS_2000	MC	PSD	29	rat	10818142	2000	YES	forebrain	MALDI-TOF-MS and SDS-PAGE	Forebrain PSD
PENG_2002	MC	PSD	327	rat	15020595	2004	YES	forebrain	liquid chromatography and LC-MS/MS	Forebrain PSD
SATON_2002	MC	PSD	45	mouse	11895482	2002	YES	forebrain	2D LC/MS/MS	Forebrain PSD
YOSHIMURA_2004	MC	PSD	436	rat	14720225	2004	YES	forebrain	2000	Forebrain PSD
FARR_2004	OS&CM	MGLUR5	73	rat	15447677	2004	NO	whole brain	co IP	mGluR5 interacting complex (co IP)
JORDAN_2004	MC	PSD	393	mouse	15169875	2004	YES	whole brain	nanoflow HPLC and LC-MS/MS	Brain PSD
LI_2004	MC	PSD	139	rat	14532281	2004	YES	forebrain	"2D gel/ICAT and matrix-assisted laser desorption ionization–time of flight, LC–MS/MS"	Brain PSD
TRINIDAD_2005	MC	PSD	236	mouse	15748150	2005	YES	whole brain (excluding the cerebellum and brain stem)	Nano-LC–ESI–QTOF MS/MS	Forebrain PSD
CHENG_2006	MC	CHENG	289	rat	16507876	2006	YES	forebrain and cerebellum	LC-MS/MS	43 proteins exhibiting statistically significant abundance change between forebrain and cerebellum; utilized absolute quantification strategy to measure molar abundance of 32 key PSD proteins in forebrain and cerebellum.
COLLINS_2006	MC & OS	PSD	620	mouse	16635246	2006	NO	forebrain	1D SDS–PAGE and LC–MS/MS	G2C PSD data set
DOSEMESI_2006	MC	PSD	114	rat	16332460	2006	YES	hippocampus	2D LC/MS/MS	PSD from hippocampal slices
DOSEMESI_2007	MC	PSD	488	rat	17623647	2007	YES	cerebral cortex	LC-MS/MS	Cortex PSD
TRINIDAD_2008	MC	PSD	2158	mouse	18056256	2008	YES	"cortex, midbrain, cerebellum, and hippocampus"	Nano-LC–ESI–QTOF MS/MS	"PSD relative quantification of expression and phosphorylation status from: cortex, hippocampus, midbrain, cerebellum"
SELIMI_2009	MC	PSD	63	mouse	19402746	2009	YES	cortex	"1-D SDS-PAGE, matrix-assisted laser desorption/ionization (MALDI) quadrupole/time-of-flight (QqTOF) MS and MALDI ion trap (MALDI-IT) tandem MS (MS/MS)"	PSD from parallel fiber/purkinje cell synapse
FERNANDEZ_2009	MC	TAP-PSD-95-CORE	294	mouse	19455133	2009	NO	forebrain	"TAP tag, LC-MS/MS"	TAP-PSD-95 pull-down core list
BAYES_2011	MC	CONSENSUS PSD	1443	human	21170055	2010	YES	cortex	LC–MS/MS	Human neocortex (hPSD) biopsy PSD consensus
BAYES_2012	MC	CONSENSUS PSD	1552	mouse	23071613	2012	YES	cortex	LC–MS/MS	Cortex PSD consensus
