MGI.ID	MOUSE.ENTREZ.ID	MOUSE.GENE.NAME	HUMAN.ENTREZ.ID	HUMAN.GENE.NAME	RAT.ENTREZ.ID	RAT.GENE.NAME	COUGHENOUR_2004	MORCIANO_2005	BURRE_2006	TAKAMORI_2006	MORCIANO_2009	GORINI_2010	GRONBORG_2010	BOYKEN_2013	WILHELM_2014	WEINGARTEN_2014	TAOUFIQ_2020	TAOUFIQ_2020_SV_RESIDENTS	count
MGI:1919020	71770	Ap2b1	163	AP2B1	140670	Ap2b1	1	1	1	1	0	1	1	1	1	1	1	1	10
MGI:105384	15481	Hspa8	3312	HSPA8	24468	Hspa8	1	1	1	1	1	1	1	1	1	1	1	0	11
MGI:95775	14681	Gnao1	2775	GNAO1	50664	Gnao1	0	1	1	1	1	1	1	1	1	1	1	0	10
MGI:87904	11461	Actb	60	ACTB	81822	Actb	1	1	1	1	1	0	1	1	0	1	0	0	8
MGI:1930705	56216	Stx1b	112755	STX1B	24923	Stx1b	1	1	1	1	0	1	1	1	0	1	1	0	9
MGI:103286	11975	Atp6v0a1	535	ATP6V0A1	29757	Atp6v0a1	1	1	1	1	1	0	1	1	1	1	1	1	10
MGI:107363	20910	Stxbp1	6812	STXBP1	25558	Stxbp1	0	1	1	1	1	1	0	1	1	1	1	0	9
MGI:88107	232975	Atp1a3	478	ATP1A3	24213	Atp1a3	0	1	1	1	1	1	1	1	1	1	1	0	10
MGI:894326	11973	Atp6v1e1	529	ATP6V1E1	297566	Atp6v1e1	1	1	1	1	1	0	1	1	1	1	1	0	10
MGI:99667	20979	Syt1	6857	SYT1	25716	Syt1	1	1	1	1	1	0	1	1	1	1	1	1	10
MGI:95781	14688	Gnb1	2782	GNB1	24400	Gnb1	1	1	0	1	1	1	0	1	1	1	1	0	9
MGI:98869	22142	Tuba1a	7846	TUBA1A	64158	Tuba1a	1	1	0	1	1	1	1	1	1	1	1	0	10
MGI:1313277	22318	Vamp2	6844	VAMP2	24803	Vamp2	1	1	1	1	1	1	1	1	1	1	1	0	11
MGI:104560	18195	Nsf	4905	NSF	60355	Nsf	1	1	1	1	1	0	1	1	1	1	1	0	10
MGI:107384	13429	Dnm1	1759	DNM1	140694	Dnm1	0	1	1	1	1	1	1	0	1	1	1	0	9
