"IDENTIFIER","ENTITY.ID","PMID","QUALIFIER","HGNC.ID","ENTREZ.ID","GENE.SYMBOL.HUMAN"
"CUSTOM.GENEFAMILY:CaM","CaM",14622891,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",14622891,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",14622891,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",18669651,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",18669651,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",18669651,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",11796942,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",11796942,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",11796942,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",19536203,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",19536203,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",19536203,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",16965177,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",16965177,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",16965177,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",16837580,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",16837580,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",16837580,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",20169176,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",20169176,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",20169176,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",15548210,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",15548210,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",15548210,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",20168991,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",20168991,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",20168991,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",16027175,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",16027175,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",16027175,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",20107130,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",20107130,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",20107130,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",11053103,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",11053103,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",11053103,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",9744891,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",9744891,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",9744891,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",18052535,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",18052535,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",18052535,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",17704141,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",17704141,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",17704141,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",19609660,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",19609660,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",19609660,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",17959737,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",17959737,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",17959737,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",20195498,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",20195498,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",20195498,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaM","CaM",12823459,"couldBeEncodedBy","HGNC:1449","808","CALM3"
"CUSTOM.GENEFAMILY:CaM","CaM",12823459,"couldBeEncodedBy","HGNC:1445","805","CALM2"
"CUSTOM.GENEFAMILY:CaM","CaM",12823459,"couldBeEncodedBy","HGNC:1442","801","CALM1"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",20195498,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",20195498,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",20195498,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",20195498,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",2149518,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",2149518,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",2149518,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",2149518,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",18377876,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",18377876,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",18377876,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",18377876,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",19609660,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",19609660,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",19609660,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",19609660,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",19890704,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",19890704,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",19890704,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",19890704,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",18052535,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",18052535,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",18052535,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",18052535,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",15819604,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",15819604,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",15819604,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",15819604,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",16027175,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",16027175,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",16027175,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",16027175,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",15548210,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",15548210,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",15548210,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",15548210,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",16965177,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",16965177,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",16965177,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",16965177,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",20107130,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",20107130,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",20107130,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",20107130,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",16415049,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",16415049,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",16415049,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",16415049,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",11053103,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",11053103,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",11053103,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",11053103,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",9744891,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",9744891,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",9744891,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",9744891,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",12823459,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",12823459,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",12823459,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",12823459,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",14622891,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",14622891,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",14622891,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",14622891,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",19666550,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",19666550,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",19666550,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",19666550,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",20168991,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",20168991,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",20168991,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",20168991,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",16837580,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",16837580,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",16837580,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",16837580,"couldBeEncodedBy","HGNC:1463","818","CAMK2G"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",11796942,"couldBeEncodedBy","HGNC:1461","816","CAMK2B"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",11796942,"couldBeEncodedBy","HGNC:1460","815","CAMK2A"
"CUSTOM.GENEFAMILY:CaMKII","CaMKII",11796942,"couldBeEncodedBy","HGNC:1462","817","CAMK2D"
