"PMID","Year","Author","LastName","name","Iteration","Iteration (#1)"
"7499337","1995","WellsN JNJImperial Cancer Research Fund Laboratories, Institute of Molecular Medicine, University of Oxford, John Radcliffe Hospital, United Kingdom.","Wells","WELLS_1995",0,0
"7499408","1995","MoriSSFaculty of Bioscience and Biotechnology, Tokyo Institute of Technology, Yokohama, Japan.","Mori","MORI_1995",1,0
"7507203","1994","AuteroMMDepartment of Biochemistry, University of Helsinki, Finland.","Autero","AUTERO_1994",2,0
"7512694","1994","TaylorS JSJSection of Biochemistry, Molecular and Cell Biology, Cornell University, Ithaca, New York 14853.","Taylor","TAYLOR_1994",3,0
"7513703","1994","SugimotoSSDepartment of Biological Chemistry and Molecular Pharmacology, Beth Israel Hospital, Boston, Massachusetts 02115.","Sugimoto","SUGIMOTO_1994",4,0
"7514173","1994","WangQ MQMDepartment of Biochemistry and Molecular Biology, Indiana University School of Medicine, Indianapolis 46202-5122.","Wang","WANG_1994",5,0
"7517397","1994","Rivero-LezcanoO MOMLaboratory of Cellular Development and Oncology, NIDR, National Institutes of Health, Bethesda, Maryland 20892.","Rivero-Lezcano","RIVERO-LEZCANO_1994",6,0
"7518772","1994","den HertogJJSalk Institute, Molecular Biology and Virology Laboratory, La Jolla, CA 92037.","den Hertog","DEN HERTOG_1994",7,0
"7522304","1994","BramR JRJDepartment of Experimental Oncology, St Jude Children's Research Hospital, Memphis, Tennessee.","Bram","BRAM_1994",8,0
"7523684","1994","PokkuluriP RPRBiotechnology Research Institute, National Research Council of Canada, Montreal, Quebec.","Pokkuluri","POKKULURI_1994",9,0
"7525595","1994","DurfeeTTCenter for Molecular Medicine/Institute of Biotechnology, University of Texas Health Science Center at San Antonio 78245.","Durfee","DURFEE_1994",10,0
"7527391","1994","LemmonM AMADepartment of Pharmacology, New York University Medical Center, New York 10016.","Lemmon","LEMMON_1994",11,0
"7527393","1994","GilmerTTGlaxo Research Institute, Research Triangle Park, North Carolina 27709.","Gilmer","GILMER_1994",12,0
