"PMID","Year","Title","Source","Author","Name"
15746149,"2005","A unique exonic splice enhancer mutation in a family with X-linked mental retardation and epilepsy points to a novel role of the renin receptor.","Hum Mol Genet","Ramser J, Abidi FE, Burckle CA, Lenski C, Toriello H, Wen G, Lubs HA, Engert S, Stevenson RE, Meindl A, Schwartz CE, Nguyen G, Nguyen G","RAMSER_2005"
17187068,"2007","HAX1 deficiency causes autosomal recessive severe congenital neutropenia (Kostmann disease).","Nat Genet","Klein C, Grudzien M, Appaswamy G, Germeshausen M, Sandrock I, Schäffer AA, Rathinam C, Boztug K, Schwinzer B, Rezaei N, Bohn G, Melin M, Carlsson G, Fadeel B, Dahl N, Palmblad J, Henter JI, Zeidler C, Grimbacher B, Welte K, Welte K","KLEIN_2007"
18055975,"2007","Severe developmental delay and epilepsy in a Japanese patient with severe congenital neutropenia due to HAX1 deficiency.","Haematologica","Matsubara K, Imai K, Okada S, Miki M, Ishikawa N, Tsumura M, Kato T, Ohara O, Nonoyama S, Kobayashi M, Kobayashi M","MATSUBARA_2007"
18252223,"2008","Submicroscopic duplications of the hydroxysteroid dehydrogenase HSD17B10 and the E3 ubiquitin ligase HUWE1 are associated with mental retardation.","Am J Hum Genet","Froyen G, Corbett M, Vandewalle J, Jarvela I, Lawrence O, Meldrum C, Bauters M, Govaerts K, Vandeleur L, Van Esch H, Chelly J, Sanlaville D, van Bokhoven H, Ropers HH, Laumonnier F, Ranieri E, Schwartz CE, Abidi F, Tarpey PS, Futreal PA, Whibley A, Raymond FL, Stratton MR, Fryns JP, Scott R, Peippo M, Sipponen M, Partington M, Mowat D, Field M, Hackett A, Marynen P, Turner G, Gécz J, Gécz J","FROYEN_2008"
18330843,"2007","Association of HAX1 deficiency with neurological disorder.","Neuropediatrics","Rezaei N, Chavoshzadeh Z, R Alaei O, Sandrock I, Klein C, Klein C","REZAEI_2007"
18611981,"2008","Neurodevelopmental abnormalities associated with severe congenital neutropenia due to the R86X mutation in the HAX1 gene.","J Med Genet","Ishikawa N, Okada S, Miki M, Shirao K, Kihara H, Tsumura M, Nakamura K, Kawaguchi H, Ohtsubo M, Yasunaga S, Matsubara K, Sako M, Hara J, Shiohara M, Kojima S, Sato T, Takihara Y, Kobayashi M, Kobayashi M","ISHIKAWA_2008"
21615589,"2011","Genetic analysis of hyperpolarization-activated cyclic nucleotide-gated cation channels in sudden unexpected death in epilepsy cases.","Brain Pathol","Tu E, Waterhouse L, Duflou J, Bagnall RD, Semsarian C, Semsarian C","TU_2011"
22495311,"2012","Patterns and rates of exonic de novo mutations in autism spectrum disorders.","Nature","Neale BM, Kou Y, Liu L, Ma'ayan A, Samocha KE, Sabo A, Lin CF, Stevens C, Wang LS, Makarov V, Polak P, Yoon S, Maguire J, Crawford EL, Campbell NG, Geller ET, Valladares O, Schafer C, Liu H, Zhao T, Cai G, Lihm J, Dannenfelser R, Jabado O, Peralta Z, Nagaswamy U, Muzny D, Reid JG, Newsham I, Wu Y, Lewis L, Han Y, Voight BF, Lim E, Rossin E, Kirby A, Flannick J, Fromer M, Shakir K, Fennell T, Garimella K, Banks E, Poplin R, Gabriel S, DePristo M, Wimbish JR, Boone BE, Levy SE, Betancur C, Sunyaev S, Boerwinkle E, Buxbaum JD, Cook EH Jr, Devlin B, Gibbs RA, Roeder K, Schellenberg GD, Sutcliffe JS, Daly MJ, Daly MJ","NEALE_2012"
22500628,"2012","Somatic activation of AKT3 causes hemispheric developmental brain malformations.","Neuron","Poduri A, Evrony GD, Cai X, Elhosary PC, Beroukhim R, Lehtinen MK, Hills LB, Heinzen EL, Hill A, Hill RS, Barry BJ, Bourgeois BF, Riviello JJ, Barkovich AJ, Black PM, Ligon KL, Walsh CA, Walsh CA","PODURI_2012"
22729223,"2012","De novo somatic mutations in components of the PI3K-AKT3-mTOR pathway cause hemimegalencephaly.","Nat Genet","Lee JH, Huynh M, Silhavy JL, Kim S, Dixon-Salazar T, Heiberg A, Scott E, Bafna V, Hill KJ, Collazo A, Funari V, Russ C, Gabriel SB, Mathern GW, Gleeson JG, Gleeson JG","LEE_2012"
