MOUSE.ENTREZ.ID	MOUSE.GENE.NAME	HUMAN.ENTREZ.ID	HUMAN.GENE.NAME	FILIOU_2010	DAHlHAUS_2011	COCHEN_2013	BIESEMANN_2014	DISTLER_2014	LIU_2014	CHANG_2015	KOHANSAL_NODEHI_2016	GONZALEZ_LOZANO_2016	ALFIERI_2017	HEO_2018	TAOUFIQ_2020
269700	Gm15800	283450	HECTD4	1	0	0	0	0	0	1	1	0	0	1	1
73072	Prr36	80164	PRR36	1	0	0	0	0	0	1	1	0	0	0	1
68045	2700060E02Rik	51637	C14orf166	1	0	0	0	1	1	0	1	0	0	1	1
15122	Hba-a1	3039	HBA1	0	0	0	0	1	0	1	0	0	0	0	1
320827	C530008M17Rik	57482	CRACD	1	0	0	0	1	0	0	1	0	0	0	1
216152	BC005764	79948	LPPR3	1	0	0	0	1	0	0	1	1	0	0	1
110957	D1Pas1	NA	NA	1	0	0	0	1	1	0	1	1	0	0	0
215821	Arfgef3	57221	ARFGEF3	1	0	0	0	1	1	1	1	1	0	0	1
664994	Isoc2a	79763	ISOC2	0	0	0	0	1	0	1	1	0	0	1	0
28006	Fam21	387680	FAM21A	1	0	0	0	0	0	1	1	0	0	1	0
24067	Srp54a	6729	SRP54	1	0	0	0	0	0	1	0	0	0	1	1
12319	Car8	767	CA8	1	0	0	0	0	0	0	1	0	0	0	1
224904	2410015M20Rik	125988	C19orf70	1	1	0	0	1	0	0	0	0	0	1	0
64833	Acot10	23597	ACOT9	1	0	0	0	0	0	0	1	1	0	1	0
208618	Etl4	56243	KIAA1217	1	0	0	0	1	1	1	1	0	1	1	1
241770	Rims4	140730	RIMS4	1	0	0	0	1	0	0	1	0	1	0	1
210933	Adgrb3	577	ADGRB3	1	0	0	0	1	0	0	1	1	1	1	1
70247	Psmd1	5707	PSMD1	1	0	1	0	1	1	1	1	1	0	1	1
223254	Farp1	10160	FARP1	1	0	1	0	1	0	1	1	1	0	1	1
11815	Apod	347	APOD	0	0	0	0	0	0	1	1	0	0	0	1
208643	Eif4g1	1981	EIF4G1	1	0	1	0	1	1	0	1	1	0	0	1
18807	Pld3	23646	PLD3	0	0	1	0	1	1	1	1	1	0	0	1
74325	Cltb	1212	CLTB	1	1	1	0	1	1	1	1	1	0	1	1
15488	Hsd17b4	3295	HSD17B4	1	0	1	0	1	0	1	1	1	0	1	1
67834	Idh3a	3419	IDH3A	1	1	1	0	1	1	1	1	1	0	1	1
11737	Anp32a	8125	ANP32A	1	0	1	0	1	1	0	1	0	0	1	1
22272	Uqcrq	27089	UQCRQ	0	1	0	0	1	0	1	1	1	0	0	1
67801	Pllp	51090	PLLP	0	0	0	0	0	0	1	1	0	0	0	0
74011	Slc25a27	9481	SLC25A27	1	0	0	0	0	0	0	1	0	0	0	1
208151	Tmem132b	114795	TMEM132B	1	0	0	0	0	0	0	1	0	1	1	1
11515	Adcy9	115	ADCY9	1	1	0	0	1	0	0	1	1	0	1	1
110355	Adrbk1	156	ADRBK1	1	0	1	0	1	1	0	1	1	0	0	1
320840	Negr1	257194	NEGR1	1	1	1	0	1	1	1	1	1	1	1	1
105504	Exoc5	10640	EXOC5	1	0	1	0	1	1	0	1	1	0	1	1
14811	Grin2a	2903	GRIN2A	1	1	0	0	1	0	0	1	1	1	1	1
192176	Flna	2316	FLNA	1	0	1	0	1	1	1	1	0	0	0	0
16952	Anxa1	301	ANXA1	0	0	1	0	1	1	0	0	0	0	0	0
56273	Pex14	5195	PEX14	0	0	1	0	1	0	1	1	0	0	1	1
18770	Pklr	5313	PKLR	1	0	0	0	1	0	0	0	0	0	0	0
227800	Rabgap1	23637	RABGAP1	1	0	1	0	1	0	1	1	1	0	1	1
270685	Mthfd1l	25902	MTHFD1L	1	0	1	0	1	1	0	1	1	0	1	1
73139	Cenpv	201161	CENPV	0	0	1	0	1	0	0	0	0	0	0	0
218035	Vps41	27072	VPS41	1	0	1	0	1	0	0	1	0	0	1	1
69601	Dab2ip	153090	DAB2IP	1	0	0	0	1	1	1	1	1	1	0	1
71770	Ap2b1	163	AP2B1	1	1	1	0	1	1	1	1	1	0	1	1
213541	Ythdf2	51441	YTHDF2	0	0	1	0	0	0	0	0	0	0	0	0
64011	Nrgn	4900	NRGN	0	1	0	0	0	1	0	0	0	0	1	1
75669	Pik3r4	30849	PIK3R4	1	0	0	0	1	0	0	1	0	0	1	1
72469	Plcd3	113026	PLCD3	0	0	1	0	0	0	1	1	0	0	0	1
13384	Mpp3	4356	MPP3	1	0	0	0	0	0	0	1	1	0	1	1
11745	Anxa3	306	ANXA3	1	0	1	0	1	1	0	1	0	0	1	1
70120	Yars2	51067	YARS2	1	0	0	0	1	0	1	1	0	0	1	1
13669	Eif3a	8661	EIF3A	0	0	1	0	1	1	0	1	0	0	0	1
110058	Syt17	51760	SYT17	1	0	0	0	0	0	0	1	1	0	0	1
68581	Tmed10	10972	TMED10	1	1	0	0	1	0	1	1	1	0	1	1
12313	Calm1	801	CALM1	0	1	0	0	0	0	0	1	1	0	1	1
71835	Lancl2	55915	LANCL2	1	0	1	1	1	1	1	1	1	0	1	1
170935	Grid2ip	392862	GRID2IP	1	0	0	0	1	0	0	1	0	0	0	1
12552	Cdh11	1009	CDH11	1	0	0	0	1	1	0	1	1	1	1	1
11764	Ap1b1	162	AP1B1	1	0	1	0	1	1	1	1	1	0	1	1
269109	Dpp10	57628	DPP10	1	1	1	0	1	1	1	1	1	0	1	1
18611	Pea15a	8682	PEA15	1	0	0	0	1	0	1	1	1	0	1	1
72183	Snx6	58533	SNX6	1	0	1	0	1	0	1	1	0	0	1	1
20912	Stxbp3a	6814	STXBP3	1	0	1	0	1	0	1	1	0	0	1	0
208846	Daam1	23002	DAAM1	1	1	0	0	1	0	0	1	1	0	1	1
13518	Dst	667	DST	1	0	1	0	1	1	1	1	1	1	1	1
235315	Rnf214	257160	RNF214	1	0	0	0	1	0	0	1	0	0	1	1
17136	Mag	4099	MAG	1	0	0	0	1	1	1	1	1	0	0	1
19229	Ptk2b	2185	PTK2B	1	0	1	0	1	1	1	1	1	0	1	1
30960	Vapa	9218	VAPA	1	1	1	0	1	1	1	1	1	0	1	1
16202	Ilk	3611	ILK	0	0	0	0	0	0	1	0	0	0	0	0
98660	Atp1a2	477	ATP1A2	1	1	1	0	1	1	1	1	1	0	1	1
15505	Hsph1	10808	HSPH1	0	0	1	0	1	1	1	1	1	0	1	1
