MGI.ID	MOUSE.ENTREZ.ID	MOUSE.GENE.NAME	MOUSE.UNIPROT.ID	HUMAN.ENTREZ.ID	HUMAN.GENE.NAME	HUMAN.UNIPROT.ID	HGNC.ID	HOMOLOGY	HomoloGene.ID	BLONDEAU_2004	COUGHENOUR_2004	PHILLIPS_2005	MORCIANO_2005	BURRE_2006	TAKAMORI_2006	KHANNA_2007	MORCIANO_2009	ABUL_HUSN_2009	GORINI_2010	GRONBORG_2010	ABUL_HUSN_2011	BOYKEN_2013	WILHELM_2014	BRINKMALM_2014	WEINGARTEN_2014	KOKOTOS_2018	TAOUFIQ_2020	WITTIG_2021	count
MGI:1919020	71770	Ap2b1	Q5SWR1;Q9DBG3	163	AP2B1	P63010;Q96EL6	HGNC:563	NO	NA	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	17
MGI:105384	15481	Hspa8	P63017	3312	HSPA8	P11142;Q53HF2;V9HW22	HGNC:5241	YES	68524	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	17
MGI:95775	14681	Gnao1	P18872;Q543S2	2775	GNAO1	B3KP89;P09471;Q8N6I9;Q6AWC5	HGNC:4389	YES	39203	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	17
MGI:87904	11461	Actb	B2RRX1;P60710	60	ACTB	P60709;Q1KLZ0;B3KWQ3	HGNC:132	YES	110648	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	15
MGI:1930705	56216	Stx1b	P61264	112755	STX1B	P61266	HGNC:18539	YES	69375	1	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	16
MGI:103286	11975	Atp6v0a1	Q3TXT5;Q3TY98;Q9Z1G4	535	ATP6V0A1	Q53ET5;Q53X12;Q5CZH6;Q93050	HGNC:865	YES	3795	1	1	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	16
MGI:107363	20910	Stxbp1	O08599	6812	STXBP1	P61764;Q68CM6	HGNC:11444	YES	2382	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	16
MGI:88107	232975	Atp1a3	Q6PIC6;Q8R0E8;Q8VCE0;A0A0G2JGX4	478	ATP1A3	P13637;Q53ES0;M0R116	HGNC:801	YES	113729	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	16
MGI:894326	11973	Atp6v1e1	P50518	529	ATP6V1E1	P36543;Q53Y06	HGNC:857	YES	1282	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	16
MGI:99667	20979	Syt1	H6RXZ1;P46096	6857	SYT1	A0A024RBE9;P21579;J3KQA0	HGNC:11509	YES	4122	1	1	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	16
MGI:95781	14688	Gnb1	P62874;Q3TQ70	2782	GNB1	B3KVK2;P62873;A0A024R056	HGNC:4396	YES	55532	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	1	16
MGI:98869	22142	Tuba1a	P68369	7846	TUBA1A	Q71U36	HGNC:20766	YES	68498	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	15
MGI:1313277	22318	Vamp2	P63044;Q8CHR4	6844	VAMP2	P63027;F8WCA0	HGNC:12643	YES	7591	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	16
MGI:104560	18195	Nsf	P46460	4905	NSF	P46459	HGNC:8016	YES	4502	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	16
MGI:107384	13429	Dnm1	P39053	1759	DNM1	Q05193;B4DK06;B7ZAC0;A0A0D9SFE4	HGNC:2972	YES	123905	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	16
MGI:1335094	235072	07-Sep	O55131;E9Q1G8	989	07-Sep	A8K3D0;B4DNE4;Q16181;A0A023T695	HGNC:1717	YES	1354	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	1	15
MGI:98331	20614	Snap25	P60879	6616	SNAP25	P60880	HGNC:11132	YES	13311	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	15
MGI:107812	22154	Tubb5	P99024	203068	TUBB	B4DY90;P07437;B4DMJ5;B4DQN9;Q5ST81;Q5SU16	HGNC:20778	YES	69099	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	1	1	15
MGI:109618	11966	Atp6v1b2	P62814	526	ATP6V1B2	P21281	HGNC:854	YES	1279	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	1	1	1	1	15
MGI:2388633	67300	Cltc	Q68FD5	1213	CLTC	A0A087WVQ6;Q00610	HGNC:2092	YES	3572	1	0	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	14
MGI:1201778	11972	Atp6v0d1	P51863	9114	ATP6V0D1	P61421;R4GN72	HGNC:13724	YES	3444	1	1	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	14
MGI:97843	19339	Rab3a	P63011;Q0PD63	5864	RAB3A	A0A024R7I7;P20336	HGNC:9777	YES	20629	1	1	0	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	1	14
MGI:1913585	66335	Atp6v1c1	Q9Z1G3	528	ATP6V1C1	A0A024R9I0;P21283	HGNC:856	YES	1281	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	14
MGI:95739	14645	Glul	P15105	2752	GLUL	A8YXX4;P15104	HGNC:4341	YES	37567	1	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	1	1	1	14
MGI:95784	14693	Gnb2	P62880;Q3U9V4	2783	GNB2	P62879;Q6FHM2	HGNC:4398	YES	68451	1	0	1	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	1	14
MGI:88105	11928	Atp1a1	Q8VDN2	476	ATP1A1	P05023	HGNC:799	YES	564	1	0	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	14
MGI:103020	20965	Syn2	Q64332;Q8CE19	6854	SYN2	A0A087X2E3;Q59GM1;Q92777;A0A087WW96;B3KRB3;Q86VA8	HGNC:11495	YES	49348	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	1	1	1	1	14
MGI:88256	12322	Camk2a	F8WHB5;P11798;F8WIS9	815	CAMK2A	A8K161;Q8IWE0;Q7LDD5;Q9UQM7	HGNC:1460	YES	56577	1	1	1	1	1	1	0	1	0	0	1	0	1	1	0	1	0	1	1	13
MGI:1298405	11773	Ap2m1	Q3TWV4;Q5FWI9;Q6A0C9;P84091	1173	AP2M1	Q96CW1	HGNC:564	YES	3000	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	1	1	1	13
MGI:101921	11771	Ap2a1	P17426	160	AP2A1	O95782	HGNC:561	YES	68997	1	0	0	1	1	1	0	0	1	1	1	0	1	1	0	1	1	1	1	13
MGI:101920	11772	Ap2a2	P17427;Q69ZW4;Q6PEE6	161	AP2A2	O94973	HGNC:562	YES	5335	1	0	0	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	13
MGI:98460	20964	Syn1	O88935	6853	SYN1	P17600	HGNC:11494	YES	48483	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	1	1	1	1	13
MGI:109355	20907	Stx1a	O35526;Q497P1	6804	STX1A	Q16623;Q75ME0	HGNC:11433	YES	37941	1	0	0	0	0	1	0	1	1	1	1	0	1	1	1	1	1	1	1	13
MGI:98467	20977	Syp	Q62277	6855	SYP	P08247	HGNC:11506	YES	2391	1	1	0	1	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	14
MGI:95640	14433	Gapdh	A0A0A0MQF6;D2KHZ9;P16858	2597	GAPDH	P04406;V9HVZ4	HGNC:4141	YES	107053	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	0	1	1	1	13
